28497	00099050	Wolne Lektury	Wolne Lektury
19612	00099050	Fundacji Wikimedia	Fundacja Wikimedia
21363	00099050	Stowarzyszenia Pisarzy Polskich	Stowarzyszenie Pisarzy Polskich
1198808	00099050	cyfrowa biblioteka lektur	cyfrowa biblioteka lektur
1198816	00099050	opracowaniami lektur szkolnych	opracowanie lektur szkolnych
1198809	00099050	domeny publicznej	domena publiczna
1198810	00099050	wspólnych motywów literackich	wspólny motyw literacki
1198812	00099050	wolnej licencji	wolna licencja
1198811	00099050	własnych zestawów lektur	własny zestaw lektur
1198815	00099050	społeczności nauczycielskiej i naukowej	społeczność nauczycielska i naukowa
1198813	00099050	motywami literackimi	motyw literacki
30916	00099051	Big Brothera 4.1	Big Brother 4.1
1198818	00099051	udziałów w rynku	udział w rynku
28514	00099052	Banku Światowego	Bank Światowy
28525	00099052	Europy Zachodniej	Europa Zachodnia
33579	00099052	Europie Środkowo-Wschodniej	Europa Środkowo-Wschodnia
1196970	00099052	zanieczyszczeniem środowiska	zanieczyszczenie środowiska
1196974	00099053	terytorium Unii Europejskiej	terytorium Unii Europejskiej
15697	00099053	Unii Europejskiej	Unia Europejska
1196973	00099053	karą grzywny	kara grzywny
1196972	00099053	czeki podróżne	czek podróżny
1196971	00099053	organom celnym	organ celny
1196976	00099054	opinię publiczną	opinia publiczna
1196975	00099054	rezerwy budżetowej	rezerwa budżetowa
1196977	00099055	serwis aukcyjny	serwis aukcyjny
10968	00099055	Polsce	Polska
10971	00099055	Niemczech	Niemcy
10972	00099055	Wielkiej Brytanii	Wielka Brytania
1196981	00099056	oprogramowanie antywirusowe	oprogramowanie antywirusowe
1196980	00099056	systemem operacyjnym Windows Vista	system operacyjny Windows Vista
1197353	00099057	patowej sytuacji	patowa sytuacja
21372	00099057	Ogólnopolski Związek Pielęgniarek i Położnych	Ogólnopolski Związek Pielęgniarek i Położnych
1197352	00099057	strajku lekarzy	strajk lekarzy
21373	00099057	Wielkopolsce	Wielkopolska
21374	00099057	Podkarpaciu	Podkarpacie
1197356	00099057	grupy zawodowej	grupa zawodowa
1197354	00099057	akcji protestacyjnej	akcja protestacyjna
